task,metric,metric_label,contrast,size_variant,scope,test_subset,role,n_pairs,dropped_pairs,mean,lo,hi,p,verdict
fixture_ed_any_conservative,auc_1se,AUC,All - Same,equal,per-subset,2020,exploratory,10,0,-0.0028758293618650344,-0.005083990424274944,-0.0006676682994551245,0.016322690019773316,worse
fixture_ed_any_conservative,auc_1se,AUC,All - Same,equal,pooled,pooled,exploratory,20,0,0.000031252588461316844,-0.002505514530908932,0.002568019707831566,0.9796971388166924,no difference
fixture_ed_any_conservative,auc_1se,AUC,Other - Same,equal,per-subset,2019,exploratory,10,0,0.0017189150910248753,-0.004224280634309059,0.007662110816358808,0.5293000185506818,no difference
fixture_ed_any_conservative,auc_1se,AUC,Other - Same,equal,per-subset,2020,exploratory,10,0,-0.008087010229988112,-0.010931647394078172,-0.0052423730658980525,0.00012078667304683607,worse
fixture_ed_any_conservative,auc_1se,AUC,Other - Same,equal,pooled,pooled,exploratory,20,0,-0.0031840475694816183,-0.006971486545943251,0.0006033914069800144,0.09457214124206158,no difference
fixture_ed_any_conservative,percent_error_1se,percent error,All - Same,full,per-subset,2019,exploratory,10,0,-0.06040334287248363,-0.205641682227284,0.08483499648231671,0.371365771780848,no difference
fixture_ed_any_conservative,percent_error_1se,percent error,All - Same,full,per-subset,2020,exploratory,10,0,-0.021564631831556724,-0.1074568034755494,0.06432753981243594,0.5839568676350237,no difference
fixture_ed_any_conservative,percent_error_1se,percent error,All - Same,full,pooled,pooled,exploratory,20,0,-0.040983987352020176,-0.11753192373215152,0.035563949028111164,0.27641852607359774,no difference
fixture_ed_any_conservative,percent_error_1se,percent error,All - Same,equal,per-subset,2019,exploratory,10,0,-0.010964869261830934,-0.12025612547155867,0.0983263869478968,0.8255295789884265,no difference
fixture_ed_any_conservative,percent_error_1se,percent error,All - Same,equal,per-subset,2020,exploratory,10,0,0.05035454023553143,-0.012886655035450084,0.11359573550651295,0.10519109691312097,no difference
fixture_ed_any_conservative,percent_error_1se,percent error,All - Same,equal,pooled,pooled,exploratory,20,0,0.01969483548685025,-0.039036709969009355,0.07842638094270984,0.4912708338237647,no difference
fixture_ed_any_conservative,percent_error_1se,percent error,Other - Same,equal,per-subset,2019,exploratory,10,0,0.04945960135416492,-0.05277936661090601,0.15169856931923584,0.30222278644916045,no difference
fixture_ed_any_conservative,percent_error_1se,percent error,Other - Same,equal,per-subset,2020,exploratory,10,0,0.02160342179168282,-0.1140866913466633,0.15729353493002893,0.7270338070615413,no difference
fixture_ed_any_conservative,percent_error_1se,percent error,Other - Same,equal,pooled,pooled,exploratory,20,0,0.03553151157292387,-0.0412606812728609,0.11232370441870865,0.3449938046261563,no difference
fixture_ed_any_conservative,brier_1se,Brier score,All - Same,full,per-subset,2019,exploratory,10,0,-0.0011244287230269974,-0.0015335011713317863,-0.0007153562747222086,0.0001554629415773668,better
fixture_ed_any_conservative,brier_1se,Brier score,All - Same,full,per-subset,2020,exploratory,10,0,-0.00019190034994794324,-0.0003589423144491859,-0.000024858385446700597,0.028794817073921904,better
fixture_ed_any_conservative,brier_1se,Brier score,All - Same,full,pooled,pooled,exploratory,20,0,-0.0006581645364874704,-0.0009576827987843144,-0.0003586462741906263,0.0001958032399443341,better
fixture_ed_any_conservative,brier_1se,Brier score,All - Same,equal,per-subset,2019,exploratory,10,0,-0.0005071715730887632,-0.0009372856291601421,-0.00007705751701738442,0.02573032472518335,better
fixture_ed_any_conservative,brier_1se,Brier score,All - Same,equal,per-subset,2020,exploratory,10,0,0.0005095624962119808,0.00022706066107839576,0.0007920643313455658,0.002756507393351905,worse
fixture_ed_any_conservative,brier_1se,Brier score,All - Same,equal,pooled,pooled,exploratory,20,0,1.1954615616087406e-6,-0.0003353697552294676,0.0003377606783526851,0.9941458387006579,no difference
fixture_ed_any_conservative,brier_1se,Brier score,Other - Same,equal,per-subset,2019,exploratory,10,0,0.0006134529108222722,-0.0000655266634058023,0.0012924324850503467,0.0713206525858334,no difference
fixture_ed_any_conservative,brier_1se,Brier score,Other - Same,equal,per-subset,2020,exploratory,10,0,0.0014416985460325743,0.001206898461420828,0.0016764986306443206,2.195579845905346e-7,worse
fixture_ed_any_conservative,brier_1se,Brier score,Other - Same,equal,pooled,pooled,exploratory,20,0,0.0010275757284274232,0.0006478521530445457,0.0014072993038103006,0.00001845197234674951,worse
fixture_ed_repeat,auc_1se,AUC,All - Same,full,per-subset,2019,exploratory,10,0,0.0032370649332490566,-0.003770114250799322,0.010244244117297435,0.3232616265957612,no difference
fixture_ed_repeat,auc_1se,AUC,All - Same,full,per-subset,2020,exploratory,10,0,0.004345071273073297,0.0008188883920458149,0.00787125415410078,0.021140040509548676,better
fixture_ed_repeat,auc_1se,AUC,All - Same,full,pooled,pooled,confirmatory,20,0,0.003791068103161177,0.000248905307235525,0.007333230899086829,0.037234720491046445,better
fixture_ed_repeat,auc_1se,AUC,All - Same,equal,per-subset,2019,exploratory,10,0,-0.005723258258290587,-0.012848463072031913,0.0014019465554507378,0.10258079068259708,no difference
fixture_ed_repeat,auc_1se,AUC,All - Same,equal,per-subset,2020,exploratory,10,0,0.0010766349726989643,-0.007854709807940593,0.010007979753338522,0.7912425125241817,no difference
fixture_ed_repeat,auc_1se,AUC,All - Same,equal,pooled,pooled,exploratory,20,0,-0.002323311642795811,-0.007720698477545621,0.0030740751919539986,0.37889636230783136,no difference
fixture_ed_repeat,auc_1se,AUC,Other - Same,equal,per-subset,2019,exploratory,10,0,-0.011641971073035384,-0.01743173616724268,-0.005852205978828088,0.0013884966331702154,worse
