test_subset,train_source,fold,downsampled,is_equal_size,n_train,n_test,n_train_positive,n_test_positive,test_prevalence,C_min,C_1se,idx_min,idx_1se,auc_min,acc_min,percent_error_min,brier_min,calibration_slope_min,calibration_intercept_min,n_nonzero_min,auc_1se,acc_1se,percent_error_1se,brier_1se,calibration_slope_1se,calibration_intercept_1se,n_nonzero_1se
2019,same,1,false,true,16381,1821,2738,305,0.16749038989566173,0.02758531617629184,0.009249147277217335,36,29,0.7652212465937107,0.8462383305875892,15.376166941241076,0.11859721058369917,1.1307377698345953,0.1859709934342905,155,0.7558977464423202,0.842394288852279,15.760571114772103,0.12057617288377179,1.2559580322917687,0.38150586615893156,59
2019,other,1,false,false,25026,1821,3486,305,0.16749038989566173,0.02758531617629184,0.009249147277217335,36,29,0.7665642977637441,0.842943437671609,15.705656232839104,0.12162923356324125,1.052030931356217,0.5519986241136818,174,0.7633029110255634,0.844041735310269,15.595826468973096,0.12028057978218294,1.1868726620229288,0.4998534251923291,76
2019,other,1,true,true,16379,1821,2281,305,0.16749038989566173,0.0376939097538836,0.017269832906594344,38,33,0.7606946667243393,0.842394288852279,15.760571114772103,0.12413686111875205,0.9745546069945199,0.5700206051015191,184,0.7611380250010813,0.842943437671609,15.705656232839104,0.12145260181843873,1.0893347745982,0.5260025557674448,109
2019,all,1,false,false,41407,1821,6224,305,0.16749038989566173,0.02359833466782194,0.007912342618981327,35,28,0.7706799602058912,0.8473366282262493,15.266337177375068,0.11754421750836304,1.0901786101781423,0.1269804552618914,204,0.7689627579047535,0.8451400329489291,15.485996705107086,0.11856963971528382,1.184544186139737,0.3030284519461885,102
2019,all,1,true,true,16380,1821,2462,305,0.16749038989566173,0.03224590545296395,0.012638482029342984,37,31,0.7673818071715905,0.8467874794069192,15.321252059308076,0.11761941846694612,1.1349500646473651,0.19616170923492704,173,0.7686534884726849,0.844041735310269,15.595826468973096,0.11905473692469198,1.2824161398644474,0.47174544481216496,78
2019,same,2,false,true,16381,1821,2738,305,0.16749038989566173,0.02758531617629184,0.010811807510766078,36,30,0.7264868722695619,0.8363536518396485,16.36463481603515,0.12590431383283265,0.8910922359882933,-0.13833802096661843,153,0.7162961200743977,0.8374519494783086,16.25480505216914,0.12621322377893004,0.9937214588375965,0.013030175933610479,66
2019,other,2,false,false,25026,1821,3486,305,0.16749038989566173,0.03224590545296395,0.010811807510766078,37,30,0.7231476274925386,0.8412959912136189,15.870400878638113,0.12580948777823578,0.8380830810710498,-0.03756551632737546,188,0.7167394783511397,0.8374519494783086,16.25480505216914,0.12653855720689808,0.9259087792748163,0.09461514595470766,89
2019,other,2,true,true,16379,1821,2281,305,0.16749038989566173,0.03224590545296395,0.010811807510766078,37,30,0.7098706691465894,0.8385502471169687,16.144975288303133,0.12748976924788885,0.8283203860026592,-0.06181918956639994,161,0.7104070245252823,0.8380010982976387,16.19989017023613,0.12771032486300685,0.9722574528952838,0.1877206278466009,62
2019,all,2,false,false,41407,1821,6224,305,0.16749038989566173,0.02018760254679039,0.007912342618981327,34,28,0.7300207621436913,0.8363536518396485,16.36463481603515,0.1248929825738451,0.8797575173730047,-0.14179300859339455,197,0.7246053029975345,0.8380010982976387,16.19989017023613,0.12541361292467346,0.9412229775564337,-0.03401550992700082,101
2019,all,2,true,true,16380,1821,2462,305,0.16749038989566173,0.02758531617629184,0.014773776525985112,36,32,0.7219884078031056,0.8385502471169687,16.144975288303133,0.1252698780996078,0.8705512224420044,-0.14203380969328644,152,0.7174012716813011,0.8385502471169687,16.144975288303133,0.12570690439485957,0.9298084690775322,-0.04277922324352832,89
2019,same,3,false,true,16381,1821,2738,305,0.16749038989566173,0.02758531617629184,0.010811807510766078,36,30,0.768906527098923,0.8539264140582098,14.60735859417902,0.1141537158689343,1.2482130138972078,0.36261992081279776,152,0.7618820018166875,0.8539264140582098,14.60735859417902,0.11561514390893618,1.3898188413608032,0.5670887856030957,69
2019,other,3,false,false,25026,1821,3486,305,0.16749038989566173,0.02758531617629184,0.010811807510766078,36,30,0.7610169124962153,0.8555738605161999,14.442613948380012,0.11521460514873925,1.0996174085729573,0.4290313013576829,176,0.759747393918422,0.8550247116968699,14.497528830313012,0.11541631177878589,1.231265451554835,0.5641430379659688,84
2019,other,3,true,true,16379,1821,2281,305,0.16749038989566173,0.03224590545296395,0.014773776525985112,37,32,0.7611293741078766,0.8517298187808896,14.82701812191104,0.11922507588003392,1.118732877382239,0.833643324110435,167,0.7595743760543276,0.8544755628775398,14.55244371224602,0.11633119847535388,1.251308280135879,0.7154507497046216,87
