test_subset,train_source,fold,downsampled,is_equal_size,n_train,n_test,n_train_positive,n_test_positive,test_prevalence,C_min,C_1se,idx_min,idx_1se,auc_min,acc_min,percent_error_min,brier_min,calibration_slope_min,calibration_intercept_min,n_nonzero_min,auc_1se,acc_1se,percent_error_1se,brier_1se,calibration_slope_1se,calibration_intercept_1se,n_nonzero_1se
1,same,1,false,true,933,105,221,25,0.23809523809523808,0.06020894493336132,0.04406236427773573,41,39,0.6945,0.7428571428571429,25.71428571428571,0.1682001450826416,0.920955259643018,-0.07157685650971148,48,0.7090000000000001,0.7523809523809524,24.761904761904763,0.1673409906000898,1.1692505071776071,0.21497336024952676,38
1,other,1,false,false,4543,105,941,25,0.23809523809523808,0.03224590545296395,0.02359833466782194,37,35,0.7334999999999999,0.7523809523809524,24.761904761904763,0.16030793822677045,1.1238138914543414,0.3807033883572654,73,0.7359999999999999,0.7523809523809524,24.761904761904763,0.16095087341279207,1.189342447398448,0.4547645399383287,59
1,other,1,true,true,930,105,192,25,0.23809523809523808,0.05150678076168122,0.0376939097538836,40,38,0.7100000000000001,0.7714285714285715,22.857142857142854,0.16152185873555522,1.362156223061773,0.757372147127357,37,0.71,0.7714285714285715,22.857142857142854,0.164699583809785,1.6278413325564929,1.1071582839064718,18
1,all,1,false,false,5476,105,1162,25,0.23809523809523808,0.02758531617629184,0.017269832906594344,36,33,0.7245,0.7428571428571429,25.71428571428571,0.1633358396132663,0.9853837811538568,0.153258182827602,78,0.7335,0.7428571428571429,25.71428571428571,0.16215453825397008,1.162807992473398,0.36867689250338526,43
1,all,1,true,true,929,105,196,25,0.23809523809523808,0.08227241341700466,0.0376939097538836,43,38,0.6509999999999999,0.780952380952381,21.904761904761905,0.16821673050108504,0.74761081660541,0.00279563876453409,79,0.7060000000000001,0.7523809523809524,24.761904761904763,0.16880723606865639,1.5409484341822262,0.9410297881001786,28
1,same,2,false,true,933,105,221,25,0.23809523809523808,0.06020894493336132,0.0376939097538836,41,38,0.7285,0.7714285714285715,22.857142857142854,0.1570094840437958,1.2130908660123223,0.14357637277564855,48,0.7245,0.780952380952381,21.904761904761905,0.15964494365391113,1.6114806060206162,0.5873399954091307,23
1,other,2,false,false,4543,105,941,25,0.23809523809523808,0.03224590545296395,0.02018760254679039,37,34,0.8055000000000001,0.7714285714285715,22.857142857142854,0.14553023381975824,1.772481967175589,1.2204895128012592,74,0.813,0.780952380952381,21.904761904761905,0.14682432598967265,2.0972570039178637,1.6041245513014066,46
1,other,2,true,true,930,105,192,25,0.23809523809523808,0.05150678076168122,0.04406236427773573,40,39,0.6905000000000001,0.7714285714285715,22.857142857142854,0.1654675930918521,1.641123705980513,1.1421827422885327,31,0.6795,0.7619047619047619,23.809523809523814,0.16741935461639443,1.8099484341774679,1.356402284049173,24
1,all,2,false,false,5476,105,1162,25,0.23809523809523808,0.02758531617629184,0.02018760254679039,36,34,0.7955,0.8,19.999999999999996,0.14562641069260965,1.7271184683601326,1.0823932528312705,78,0.8,0.7904761904761904,20.952380952380956,0.14610981879875345,1.902105896727943,1.2797226511799573,48
1,all,2,true,true,929,105,196,25,0.23809523809523808,0.08227241341700466,0.03224590545296395,43,37,0.765,0.8095238095238095,19.047619047619047,0.14921514862540092,1.1986063782587597,0.4027731271838121,68,0.7989999999999999,0.7619047619047619,23.809523809523814,0.15506034823795192,2.9062131714373574,2.587226771340539,18
1,same,3,false,true,934,104,221,25,0.2403846153846154,0.06020894493336132,0.04406236427773573,41,39,0.7235443037974684,0.75,25.0,0.1622423554834717,1.0454113531985334,0.0556555514154876,48,0.7063291139240506,0.7596153846153846,24.03846153846154,0.16287387472369158,1.1987785101441706,0.21961206955693208,32
