test_subset,train_source,fold,downsampled,n_train,n_test,C_min,C_1se,idx_min,idx_1se,auc_min,acc_min,auc_1se,acc_1se,r_auc,r_acc,d_auc_min,d_auc_1se
2019,same,1,false,16383,1819,0.05150678076168122,0.02359833466782194,40,35,0.9736124226209213,0.971412864211105,0.9738957087399014,0.9725123694337549,0.974053089917115,0.973611874656405,-0.0004406672961937419,-0.00015738117721364464
2019,other,1,false,25027,1819,0.05150678076168122,0.02758531617629184,40,36,0.975238694785437,0.9747113798790544,0.9745357255272269,0.9741616272677295,0.973465533522192,0.97306212204508,0.0017731612632450044,0.0010701920050348868
2019,all,1,false,41410,1819,0.04406236427773573,0.02758531617629184,39,36,0.9751232819221488,0.9752611324903794,0.975448536355052,0.9741616272677295,0.975060329451262,0.97306212204508,0.00006295247088683453,0.00038820690379004485
2019,same,2,false,16381,1821,0.04406236427773573,0.02018760254679039,39,34,0.9718418614228355,0.9719934102141681,0.9681972614022445,0.970895112575508,0.966884587666017,0.970895112575508,0.0049572737568184255,0.0013126737362274543
2019,other,2,false,25027,1821,0.05150678076168122,0.02018760254679039,40,34,0.9752084834757542,0.9703459637561779,0.9736126840317101,0.9719934102141681,0.97360238855143,0.971993410214168,0.0016060949243241751,0.000010295480280086977
2019,all,2,false,41408,1821,0.0376939097538836,0.02359833466782194,38,35,0.975136415113765,0.971444261394838,0.9746319365798415,0.9719934102141681,0.97357150211057,0.972542559033498,0.0015649130031950564,0.0010604344692715095
2019,same,3,false,16382,1820,0.04406236427773573,0.02359833466782194,39,35,0.9753470911455058,0.9752747252747253,0.972977224109727,0.9774725274725274,0.970041105658323,0.977472527472527,0.005305985487182752,0.0029361184514039573
2019,other,3,false,25027,1820,0.05150678076168122,0.02758531617629184,40,36,0.9778427918292018,0.9796703296703296,0.9751373683989766,0.9785714285714285,0.970429092739403,0.975824175824176,0.00741369908979872,0.0047082756595735464
2019,all,3,false,41409,1820,0.04406236427773573,0.02359833466782194,39,35,0.9792059896816409,0.9796703296703296,0.9768256365085357,0.9796703296703296,0.974162157627613,0.977472527472527,0.005043832054027808,0.002663478880922665
2019,same,4,false,16382,1820,0.04406236427773573,0.02018760254679039,39,34,0.9563252380353173,0.9736263736263736,0.9540287739608238,0.9725274725274725,0.954212281364038,0.971428571428571,0.002112956671279309,-0.00018350740321426695
2019,other,4,false,25027,1820,0.05150678076168122,0.02359833466782194,40,35,0.9494358458118367,0.9686813186813187,0.9541650937460677,0.9725274725274725,0.95431189966864,0.972527472527472,-0.004876053856803342,-0.00014680592257232394
2019,all,4,false,41409,1820,0.04406236427773573,0.02359833466782194,39,35,0.9536512730170715,0.9703296703296703,0.954102176922109,0.971978021978022,0.955014470869508,0.973076923076923,-0.0013631978524364374,-0.000912293947399001
2019,same,5,false,16382,1820,0.0376939097538836,0.02359833466782194,38,35,0.9778637641038547,0.9758241758241758,0.9770982760790236,0.9752747252747253,0.975221257497592,0.976373626373626,0.00264250660626264,0.0018770185814315221
2019,other,5,false,25027,1820,0.06020894493336132,0.0376939097538836,41,38,0.9779791116144457,0.9752747252747253,0.9789123778365001,0.9752747252747253,0.977402374061487,0.977472527472527,0.0005767375529587282,0.0015100037750130912
2019,all,5,false,41409,1820,0.04406236427773573,0.02758531617629184,39,36,0.9785768214420536,0.9758241758241758,0.9788809194245207,0.9758241758241758,0.978650224403339,0.975824175824176,-0.00007340296128544033,0.0002306950211816705
2019,same,6,false,16381,1821,0.05150678076168122,0.02359833466782194,40,35,0.9789045608977659,0.9747391543108183,0.9792134253062905,0.9758374519494784,0.978667764851232,0.976935749588138,0.00023679604653392694,0.0005456604550585498
2019,other,6,false,25028,1821,0.05150678076168122,0.02758531617629184,40,36,0.9782971275610006,0.9769357495881383,0.9780603315144651,0.9769357495881383,0.9776485123031,0.976935749588138,0.0006486152579006088,0.00041181921136512756
2019,all,6,false,41409,1821,0.04406236427773573,0.02018760254679039,39,34,0.9786883558117986,0.9769357495881383,0.9792751981879955,0.9752883031301482,0.978492741686399,0.975837451949478,0.00019561412539959022,0.0007824565015964735
2019,same,7,false,16381,1821,0.05150678076168122,0.03224590545296395,40,37,0.9705858128281684,0.9758374519494784,0.9715638834551632,0.9785831960461285,0.971218984865643,0.976386600768808,-0.0006331720374745942,0.0003448985895202483
