test_subset,train_source,fold,n_train,n_test,train_rate,test_rate,auc,accuracy
2019,same,1,16383,1819,0.03003112982970152,0.029686641011544807,0.5,0.9703133589884552
2019,other,1,25027,1819,0.03084668557957406,0.029686641011544807,0.5,0.9703133589884552
2019,all,1,41410,1819,0.030524028012557353,0.029686641011544807,0.5,0.9703133589884552
2019,same,2,16381,1821,0.02997375007630792,0.030203185063152116,0.5,0.9697968149368479
2019,other,2,25027,1821,0.030806728732968393,0.030203185063152116,0.5,0.9697968149368479
2019,all,2,41408,1821,0.030477202472952086,0.030203185063152116,0.5,0.9697968149368479
2019,same,3,16382,1820,0.03003296300817971,0.02967032967032967,0.5,0.9703296703296703
2019,other,3,25027,1820,0.030806728732968393,0.02967032967032967,0.5,0.9703296703296703
2019,all,3,41409,1820,0.030500615808157647,0.02967032967032967,0.5,0.9703296703296703
2019,same,4,16382,1820,0.03003296300817971,0.02967032967032967,0.5,0.9703296703296703
2019,other,4,25027,1820,0.030806728732968393,0.02967032967032967,0.5,0.9703296703296703
2019,all,4,41409,1820,0.030500615808157647,0.02967032967032967,0.5,0.9703296703296703
2019,same,5,16382,1820,0.03003296300817971,0.02967032967032967,0.5,0.9703296703296703
2019,other,5,25027,1820,0.030806728732968393,0.02967032967032967,0.5,0.9703296703296703
2019,all,5,41409,1820,0.030500615808157647,0.02967032967032967,0.5,0.9703296703296703
2019,same,6,16381,1821,0.02997375007630792,0.030203185063152116,0.5,0.9697968149368479
2019,other,6,25028,1821,0.03084545309253636,0.030203185063152116,0.5,0.9697968149368479
2019,all,6,41409,1821,0.030500615808157647,0.030203185063152116,0.5,0.9697968149368479
2019,same,7,16381,1821,0.02997375007630792,0.030203185063152116,0.5,0.9697968149368479
2019,other,7,25028,1821,0.03084545309253636,0.030203185063152116,0.5,0.9697968149368479
2019,all,7,41409,1821,0.030500615808157647,0.030203185063152116,0.5,0.9697968149368479
2019,same,8,16382,1820,0.029971920400439507,0.03021978021978022,0.5,0.9697802197802198
2019,other,8,25027,1820,0.030806728732968393,0.03021978021978022,0.5,0.9697802197802198
2019,all,8,41409,1820,0.030476466468642084,0.03021978021978022,0.5,0.9697802197802198
2019,same,9,16382,1820,0.029971920400439507,0.03021978021978022,0.5,0.9697802197802198
2019,other,9,25027,1820,0.030806728732968393,0.03021978021978022,0.5,0.9697802197802198
2019,all,9,41409,1820,0.030476466468642084,0.03021978021978022,0.5,0.9697802197802198
2019,same,10,16382,1820,0.029971920400439507,0.03021978021978022,0.5,0.9697802197802198
2019,other,10,25027,1820,0.030806728732968393,0.03021978021978022,0.5,0.9697802197802198
2019,all,10,41409,1820,0.030476466468642084,0.03021978021978022,0.5,0.9697802197802198
2020,same,1,25027,2781,0.03084668557957406,0.030564545127651922,0.5,0.9694354548723481
2020,other,1,16383,2781,0.03003112982970152,0.030564545127651922,0.5,0.9694354548723481
2020,all,1,41410,2781,0.030524028012557353,0.030564545127651922,0.5,0.9694354548723481
2020,same,2,25027,2781,0.030806728732968393,0.030924128011506652,0.5,0.9690758719884933
2020,other,2,16381,2781,0.02997375007630792,0.030924128011506652,0.5,0.9690758719884933
2020,all,2,41408,2781,0.030477202472952086,0.030924128011506652,0.5,0.9690758719884933
2020,same,3,25027,2781,0.030806728732968393,0.030924128011506652,0.5,0.9690758719884933
2020,other,3,16382,2781,0.03003296300817971,0.030924128011506652,0.5,0.9690758719884933
2020,all,3,41409,2781,0.030500615808157647,0.030924128011506652,0.5,0.9690758719884933
2020,same,4,25027,2781,0.030806728732968393,0.030924128011506652,0.5,0.9690758719884933
2020,other,4,16382,2781,0.03003296300817971,0.030924128011506652,0.5,0.9690758719884933
2020,all,4,41409,2781,0.030500615808157647,0.030924128011506652,0.5,0.9690758719884933
2020,same,5,25027,2781,0.030806728732968393,0.030924128011506652,0.5,0.9690758719884933
2020,other,5,16382,2781,0.03003296300817971,0.030924128011506652,0.5,0.9690758719884933
2020,all,5,41409,2781,0.030500615808157647,0.030924128011506652,0.5,0.9690758719884933
2020,same,6,25028,2780,0.03084545309253636,0.030575539568345324,0.5,0.9694244604316546
2020,other,6,16381,2780,0.02997375007630792,0.030575539568345324,0.5,0.9694244604316546
2020,all,6,41409,2780,0.030500615808157647,0.030575539568345324,0.5,0.9694244604316546
2020,same,7,25028,2780,0.03084545309253636,0.030575539568345324,0.5,0.9694244604316546
2020,other,7,16381,2780,0.02997375007630792,0.030575539568345324,0.5,0.9694244604316546
2020,all,7,41409,2780,0.030500615808157647,0.030575539568345324,0.5,0.9694244604316546
2020,same,8,25027,2781,0.030806728732968393,0.030924128011506652,0.5,0.9690758719884933
2020,other,8,16382,2781,0.029971920400439507,0.030924128011506652,0.5,0.9690758719884933
2020,all,8,41409,2781,0.030476466468642084,0.030924128011506652,0.5,0.9690758719884933
2020,same,9,25027,2781,0.030806728732968393,0.030924128011506652,0.5,0.9690758719884933
2020,other,9,16382,2781,0.029971920400439507,0.030924128011506652,0.5,0.9690758719884933
2020,all,9,41409,2781,0.030476466468642084,0.030924128011506652,0.5,0.9690758719884933
2020,same,10,25027,2781,0.030806728732968393,0.030924128011506652,0.5,0.9690758719884933
2020,other,10,16382,2781,0.029971920400439507,0.030924128011506652,0.5,0.9690758719884933
2020,all,10,41409,2781,0.030476466468642084,0.030924128011506652,0.5,0.9690758719884933
