test_subset,train_source,fold,downsampled,n_train,n_test,C_min,C_1se,idx_min,idx_1se,auc_min,acc_min,auc_1se,acc_1se,r_auc,r_acc,d_auc_min,d_auc_1se
2019,same,1,false,16383,1819,0.08111308307896872,0.08111308307896872,4,4,0.971923197985521,0.9719626168224299,0.971923197985521,0.9719626168224299,0.963543704313811,0.978583196046129,0.008379493671709981,0.008379493671709981
2019,other,1,false,25027,1819,0.08111308307896872,0.08111308307896872,4,4,0.9746721225474766,0.9719626168224299,0.9746721225474766,0.9719626168224299,0.968557603212191,0.977484898407468,0.0061145193352856175,0.0061145193352856175
2019,all,1,false,41410,1819,0.08111308307896872,0.08111308307896872,4,4,0.9746616304689959,0.9752611324903794,0.9746616304689959,0.9752611324903794,0.968567898692473,0.979132344865459,0.006093731776522948,0.006093731776522948
2019,same,2,false,16381,1821,0.08111308307896872,0.01519911082952933,4,3,0.9730464326160815,0.971444261394838,0.9668742921857304,0.970895112575508,0.976938124163495,0.975288303130148,-0.003891691547413534,-0.010063831977764615
2019,other,2,false,25027,1821,0.08111308307896872,0.08111308307896872,4,4,0.9745598682178523,0.9681493684788578,0.9745598682178523,0.9681493684788578,0.976073303819618,0.973640856672158,-0.0015134356017656447,-0.0015134356017656447
2019,all,2,false,41408,1821,0.08111308307896872,0.08111308307896872,4,4,0.9744157314938741,0.9697968149368479,0.9744157314938741,0.9697968149368479,0.978832492535784,0.975288303130148,-0.004416761041909911,-0.004416761041909911
2019,same,3,false,16382,1820,0.08111308307896872,0.08111308307896872,4,4,0.9748122981418565,0.9763736263736263,0.9748122981418565,0.9763736263736263,0.976500566251419,0.973091707852828,-0.001688268109562463,-0.001688268109562463
2019,other,3,false,25027,1820,0.08111308307896872,0.08111308307896872,4,4,0.978608279854033,0.9813186813186813,0.978608279854033,0.9813186813186813,0.977761762586221,0.974190005491488,0.0008465172678119304,0.0008465172678119304
2019,all,3,false,41409,1820,0.08111308307896872,0.08111308307896872,4,4,0.9799295331571662,0.9802197802197802,0.9799295331571662,0.9802197802197802,0.978070626994752,0.974739154310818,0.0018589061624142422,0.0018589061624142422
2019,same,4,false,16382,1820,0.08111308307896872,0.01519911082952933,4,3,0.957331907218657,0.9725274725274725,0.9541388784027516,0.9714285714285714,0.959549057963551,0.975837451949478,-0.0022171507448940364,-0.005410179560799477
2019,other,4,false,25027,1820,0.08111308307896872,0.08111308307896872,4,4,0.9467828530682438,0.9664835164835165,0.9467828530682438,0.9664835164835165,0.957186245238344,0.975837451949478,-0.010403392170100112,-0.010403392170100112
