test_subset,train_source,fold,downsampled,n_train,n_test,C_min,C_1se,idx_min,idx_1se,auc_min,acc_min,auc_1se,acc_1se,r_auc,r_acc,d_auc_min,d_auc_1se
2019,same,1,false,16383,1819,0.06020894493336132,0.03224590545296395,41,37,0.9729828979120764,0.971412864211105,0.9740530899171125,0.9719626168224299,0.974053089917115,0.973611874656405,-0.0010701920050386615,-2.55351295663786e-15
2019,other,1,false,25027,1819,0.06020894493336132,0.03224590545296395,41,37,0.9750603294512643,0.9736118746564046,0.9745986779981115,0.9747113798790544,0.973465533522192,0.97306212204508,0.0015947959290723013,0.0011331444759195008
2019,all,1,false,41410,1819,0.05150678076168122,0.03224590545296395,40,37,0.9748924561955724,0.9758108851017042,0.9753855838841675,0.9752611324903794,0.975060329451262,0.97306212204508,-0.00016787325568956568,0.0003252544329055418
2019,same,2,false,16381,1821,0.06020894493336132,0.02758531617629184,41,36,0.9726243179244312,0.9719934102141681,0.9700092659322557,0.9730917078528282,0.966884587666017,0.970895112575508,0.005739730258414122,0.003124678266238634
2019,other,2,false,25027,1821,0.06020894493336132,0.02758531617629184,41,36,0.9751055286729127,0.9697968149368479,0.9741171625656337,0.971444261394838,0.97360238855143,0.971993410214168,0.0015031401214826712,0.0005147740142037449
2019,all,2,false,41408,1821,0.05150678076168122,0.02758531617629184,40,36,0.975002573870071,0.970895112575508,0.9749716874292186,0.9730917078528282,0.97357150211057,0.972542559033498,0.0014310717595010791,0.0014001853186486057
2019,same,3,false,16382,1820,0.06020894493336132,0.03224590545296395,41,37,0.9752107713602618,0.9763736263736263,0.9745291724340422,0.9763736263736263,0.970041105658323,0.977472527472527,0.005169665701938775,0.004488066775719224
2019,other,3,false,25027,1820,0.06020894493336132,0.03224590545296395,41,37,0.9780210561637516,0.9796703296703296,0.9755777861666876,0.9791208791208791,0.970429092739403,0.975824175824176,0.007591963424348536,0.005148693427284523
2019,all,3,false,41409,1820,0.05150678076168122,0.02758531617629184,40,36,0.9792793926429261,0.9796703296703296,0.9774023740614908,0.9796703296703296,0.974162157627613,0.977472527472527,0.005117235015313026,0.0032402164338777295
2019,same,4,false,16382,1820,0.05150678076168122,0.02758531617629184,40,36,0.9565139885071935,0.9725274725274725,0.9550039847321841,0.9714285714285714,0.954212281364038,0.971428571428571,0.0023017071431554736,0.0007917033681460461
2019,other,4,false,25027,1820,0.06020894493336132,0.03224590545296395,41,37,0.9476532024663396,0.9675824175824176,0.9516589069250451,0.9714285714285714,0.95431189966864,0.972527472527472,-0.006658697202300501,-0.002652992743594984
2019,all,4,false,41409,1820,0.05150678076168122,0.02758531617629184,40,36,0.9535673839184597,0.9686813186813187,0.9540287739608238,0.971978021978022,0.955014470869508,0.973076923076923,-0.0014470869510482265,-0.0009856969086842193
2019,same,5,false,16382,1820,0.06020894493336132,0.03224590545296395,41,37,0.9775491799840611,0.978021978021978,0.9774128601988171,0.9747252747252747,0.975221257497592,0.976373626373626,0.0023279224864690695,0.0021916027012250927
2019,other,5,false,25027,1820,0.07038135554931554,0.04406236427773573,42,39,0.9778532779665283,0.9752747252747253,0.9785243907554213,0.9747252747252747,0.977402374061487,0.977472527472527,0.00045090390504132216,0.0011220166939343024
2019,all,5,false,41409,1820,0.05150678076168122,0.03224590545296395,40,37,0.9783041818715659,0.9763736263736263,0.9786397382660124,0.9758241758241758,0.978650224403339,0.975824175824176,-0.0003460425317731719,-0.0000104861373266818
2019,same,6,false,16381,1821,0.07038135554931554,0.03224590545296395,42,37,0.978389786883558,0.9752883031301482,0.9799135179656131,0.9758374519494784,0.978667764851232,0.976935749588138,-0.0002779779676739258,0.0012457531143811318
2019,other,6,false,25028,1821,0.06020894493336132,0.03224590545296395,41,37,0.978389786883558,0.9758374519494784,0.9781118089158859,0.9769357495881383,0.9776485123031,0.976935749588138,0.000741274580458029,0.0004632966127858795
2019,all,6,false,41409,1821,0.05150678076168122,0.02758531617629184,40,36,0.9785751055286729,0.9758374519494784,0.9791413569443015,0.9763866007688083,0.978492741686399,0.975837451949478,0.00008236384227389149,0.0006486152579024962
2019,same,7,false,16381,1821,0.06020894493336132,0.04406236427773573,41,39,0.9693915371152064,0.9747391543108183,0.9706064037887367,0.9769357495881383,0.971218984865643,0.976386600768808,-0.0018274477504365283,-0.0006125810769062046
2019,other,7,false,25028,1821,0.06020894493336132,0.03224590545296395,41,37,0.9752496653968908,0.9780340472267984,0.9784412642849789,0.9780340472267984,0.977370534335432,0.978034047226798,-0.0021208689385411317,0.0010707299495469336
2019,all,7,false,41409,1821,0.06020894493336132,0.03224590545296395,41,37,0.9735509111500051,0.9791323448654585,0.9763615772675796,0.9780340472267984,0.976433645629556,0.979132344865459,-0.002882734479550897,-0.00007206836197648503
2019,same,8,false,16382,1820,0.06020894493336132,0.02758531617629184,41,36,0.9771310842132372,0.9730769230769231,0.9777388617048675,0.9725274725274725,0.975936131856811,0.973076923076923,0.0011949523564261932,0.0018027298480564058
2019,other,8,false,25027,1820,0.05150678076168122,0.03224590545296395,40,37,0.9780272984805563,0.9736263736263736,0.978109708987896,0.971978021978022,0.977769765645123,0.971978021978022,0.00025753283543328287,0.0003399433427729859
2019,all,8,false,41409,1820,0.05150678076168122,0.0376939097538836,40,38,0.9780685037342262,0.9730769230769231,0.9785526654648466,0.9725274725274725,0.979067731135714,0.972527472527472,-0.0009992274014878344,-0.0005150656708673429
2019,same,9,false,16382,1820,0.05150678076168122,0.03224590545296395,40,37,0.9553541076487252,0.9708791208791209,0.9582796806592839,0.9730769230769231,0.959629152716971,0.972527472527472,-0.004275045068245831,-0.0013494720576870955
2019,other,9,false,25027,1820,0.06020894493336132,0.03224590545296395,41,37,0.960916816894154,0.9708791208791209,0.9621941797579191,0.9714285714285714,0.959237702807104,0.973076923076923,0.0016791140870500154,0.0029564769508151345
2019,all,9,false,41409,1820,0.05150678076168122,0.02758531617629184,40,36,0.9627401493690446,0.9752747252747253,0.9638629925315478,0.9725274725274725,0.963492145248518,0.971428571428571,-0.0007519958794733883,0.0003708472830298293
