test_subset,train_source,fold,downsampled,n_train,n_test,C_min,C_1se,idx_min,idx_1se,auc_min,acc_min,auc_1se,acc_1se,r_auc,r_acc,d_auc_min,d_auc_1se
2019,same,1,false,16383,1819,0.003625117049988535,0.0014208308325339223,23,17,0.9713985940614835,0.9708631115997801,0.9711782604133878,0.9741616272677295,0.963543704313811,0.978583196046129,0.007854889747672567,0.007634556099576861
2019,other,1,false,25027,1819,0.003625117049988535,0.0016608827826277166,23,18,0.97415801070192,0.9730621220450797,0.9737907879550939,0.977460142935679,0.968557603212191,0.977484898407468,0.005600407489729009,0.005233184742902908
2019,all,1,false,41410,1819,0.003625117049988535,0.0022695105366946685,23,20,0.9741160423879971,0.9758108851017042,0.9742314552512853,0.9758108851017042,0.968567898692473,0.979132344865459,0.005548143695524144,0.005663556558812344
2019,same,2,false,16381,1821,0.003625117049988535,0.0012154742500762859,23,16,0.9701431071759499,0.971444261394838,0.9676618964274684,0.9719934102141681,0.976938124163495,0.975288303130148,-0.006795016987545144,-0.009276227736026654
2019,other,2,false,25027,1821,0.003625117049988535,0.00103979841848149,23,15,0.9714094512509008,0.9681493684788578,0.968763512817873,0.971444261394838,0.976073303819618,0.973640856672158,-0.004663852568717153,-0.007309791001745003
2019,all,2,false,41408,1821,0.003625117049988535,0.0016608827826277166,23,18,0.9727581591681251,0.971444261394838,0.9717389066199937,0.971444261394838,0.978832492535784,0.975288303130148,-0.006074333367658835,-0.007093585915790235
2019,same,3,false,16382,1820,0.004237587160604063,0.0014208308325339223,24,17,0.9757350782265846,0.9758241758241758,0.9763118157795394,0.9758241758241758,0.976500566251419,0.973091707852828,-0.0007654880248344487,-0.00018875047187960625
2019,other,3,false,25027,1820,0.003625117049988535,0.0016608827826277166,23,18,0.978125917537016,0.9807692307692307,0.9777274443186108,0.9791208791208791,0.977761762586221,0.974190005491488,0.0003641549507950037,-0.000034318267610244924
2019,all,3,false,41409,1820,0.003625117049988535,0.0016608827826277166,23,18,0.9800553668050836,0.9802197802197802,0.979279392642926,0.9802197802197802,0.978070626994752,0.974739154310818,0.0019847398103316483,0.0012087656481739595
2019,same,4,false,16382,1820,0.003625117049988535,0.0012154742500762859,23,16,0.9593976762719685,0.9714285714285714,0.9605826097898578,0.971978021978022,0.959549057963551,0.975837451949478,-0.00015138169158257497,0.0010335518263067112
2019,other,4,false,25027,1820,0.003625117049988535,0.0014208308325339223,23,17,0.9456293779623338,0.9642857142857143,0.9512918921186192,0.9692307692307692,0.957186245238344,0.975837451949478,-0.01155686727601013,-0.005894353119724749
2019,all,4,false,41409,1820,0.003625117049988535,0.0019414919457438817,23,19,0.9541755798833941,0.9697802197802198,0.9556646113837506,0.971978021978022,0.961505199217547,0.975288303130148,-0.0073296193341528815,-0.0058405878337963735
2019,same,5,false,16382,1820,0.003625117049988535,0.0014208308325339223,23,17,0.9741516714902898,0.9758241758241758,0.9733127805041735,0.9769230769230769,0.962575929167096,0.971993410214168,0.011575742323193805,0.010736851337077469
2019,other,5,false,25027,1820,0.004237587160604063,0.0022695105366946685,24,20,0.9744977140220629,0.978021978021978,0.9740258378423723,0.978021978021978,0.965602800370638,0.974739154310818,0.008894913651424918,0.00842303747173434
2019,all,5,false,41409,1820,0.004237587160604063,0.0016608827826277166,24,18,0.9760811207583574,0.9752747252747253,0.9752002852229352,0.9774725274725274,0.965520436528366,0.970895112575508,0.010560684229991346,0.00967984869456917
