task,metric,metric_label,contrast,size_variant,scope,test_subset,role,n_pairs,dropped_pairs,mean,lo,hi,p,verdict
service_use_ed_any_seed2,brier_1se,Brier score,All - Same,full,per-subset,1,exploratory,10,0,-0.004550022345129581,-0.007282552567653611,-0.0018174921226055507,0.0044383461492514854,better
service_use_ed_any_seed2,brier_1se,Brier score,All - Same,full,per-subset,2,exploratory,10,0,-0.006632699911326903,-0.011465118361122673,-0.0018002814615311344,0.012622128682082841,better
service_use_ed_any_seed2,brier_1se,Brier score,All - Same,full,per-subset,3,exploratory,10,0,-0.003700674763739692,-0.0072956753566050065,-0.0001056741708743772,0.04484595335674832,better
service_use_ed_any_seed2,brier_1se,Brier score,All - Same,full,per-subset,4,exploratory,10,0,-0.0028444100085938282,-0.004721601390582686,-0.0009672186266049708,0.007535256455483265,better
service_use_ed_any_seed2,brier_1se,Brier score,All - Same,full,pooled,pooled,exploratory,40,0,-0.004431951757197501,-0.005977159859934666,-0.002886743654460336,9.773126248644888e-7,better
service_use_ed_any_seed2,brier_1se,Brier score,All - Same,equal,per-subset,1,exploratory,10,0,0.0016716016811673035,-0.0019174561509012105,0.0052606595132358176,0.31952989535376836,no difference
service_use_ed_any_seed2,brier_1se,Brier score,All - Same,equal,per-subset,2,exploratory,10,0,-0.00038130964531374876,-0.003731420971097074,0.002968801680469576,0.8025996006405026,no difference
service_use_ed_any_seed2,brier_1se,Brier score,All - Same,equal,per-subset,3,exploratory,10,0,0.00041397964201134727,-0.0034759504330346505,0.004303909717057345,0.8151462518752279,no difference
service_use_ed_any_seed2,brier_1se,Brier score,All - Same,equal,per-subset,4,exploratory,10,0,0.0007493605728903674,-0.00131954645227306,0.002818267598053795,0.43374394246066106,no difference
service_use_ed_any_seed2,brier_1se,Brier score,All - Same,equal,pooled,pooled,exploratory,40,0,0.0006134080626888173,-0.0008232621226873859,0.0020500782480650207,0.3930778982493039,no difference
service_use_ed_any_seed2,brier_1se,Brier score,Other - Same,equal,per-subset,1,exploratory,10,0,0.004401647019456769,0.00008222643870662346,0.008721067600206914,0.04659958273739418,worse
service_use_ed_any_seed2,brier_1se,Brier score,Other - Same,equal,per-subset,2,exploratory,10,0,-0.0004357113426516956,-0.0034187117065217717,0.0025472890212183802,0.7486434254907605,no difference
service_use_ed_any_seed2,brier_1se,Brier score,Other - Same,equal,per-subset,3,exploratory,10,0,-0.000021612988151306632,-0.003503153251710366,0.0034599272754077524,0.9891018921721692,no difference
service_use_ed_any_seed2,brier_1se,Brier score,Other - Same,equal,per-subset,4,exploratory,10,0,0.002366363184730752,0.000013122131245589877,0.0047196042382159145,0.04897947564236553,worse
service_use_ed_any_seed2,brier_1se,Brier score,Other - Same,equal,pooled,pooled,exploratory,40,0,0.0015776714683461298,1.4886612182661314e-6,0.0031538542754739936,0.04979441050162878,worse
service_use_ed_repeat_5fold,auc_1se,AUC,All - Same,full,per-subset,1,exploratory,5,0,0.03239113002714036,-0.010591511083985636,0.07537377113826635,0.10455966447511365,no difference
service_use_ed_repeat_5fold,auc_1se,AUC,All - Same,full,per-subset,2,exploratory,5,0,0.03424516789355585,-0.001157016484986853,0.06964735227209855,0.05490225482240448,no difference
service_use_ed_repeat_5fold,auc_1se,AUC,All - Same,full,per-subset,3,exploratory,5,0,0.02904498380432714,-0.00793914854387023,0.0660291161525245,0.09469757432634845,no difference
service_use_ed_repeat_5fold,auc_1se,AUC,All - Same,full,per-subset,4,exploratory,5,0,-0.007117898021423641,-0.030093434511035536,0.015857638468188252,0.43820522994066163,no difference
service_use_ed_repeat_5fold,auc_1se,AUC,All - Same,full,pooled,pooled,confirmatory,20,0,0.022140845925899925,0.007442524573389085,0.036839167278410766,0.005239268155515632,better
service_use_ed_repeat_5fold,auc_1se,AUC,All - Same,equal,per-subset,1,exploratory,5,0,-0.019972859610165306,-0.07059514828702204,0.030649429066691432,0.33485528700997835,no difference
service_use_ed_repeat_5fold,auc_1se,AUC,All - Same,equal,per-subset,2,exploratory,5,0,-0.015771365586741727,-0.04922668597590442,0.017683954802420965,0.2607121265313851,no difference
service_use_ed_repeat_5fold,auc_1se,AUC,All - Same,equal,per-subset,3,exploratory,5,0,-0.003696230718458371,-0.016791301340194534,0.00939883990327779,0.4770307723955235,no difference
